"Word","V1"
"inspired",-0.81832917174186
"harkin,",-0.729975942327079
"main",-0.715205753738921
"immediate",-0.67512847418352
"#99countytour",-0.621870788670003
"#dreamact.",-0.616166195203742
"law",-0.615255504876948
"harm",-0.594420390226289
"#ethanol",-0.579734089488482
"#louisiana",-0.564407654044644
"harkin:",-0.550744226115542
"#playbookbreakfast",-0.525421066178974
"rock",-0.512444024191002
"#dreamhearing:",-0.489013711544726
"women'",-0.486912458836942
"science",-0.485059573259844
"church",-0.472335285799472
"send",-0.431738021450855
"@wolfblitzercnn",-0.428903381766901
"#pollutedpolitics",-0.428552041707424
"duty",-0.416512438156915
"@theearlyshow",-0.413902397776739
"#nyc",-0.412209513036529
"remind",-0.411580582779249
"obama",-0.409127534718838
"private",-0.396772790103463
"learn",-0.396335995459906
"scare",-0.394204748629223
"colleagues",-0.370890535668557
"cardin:",-0.370291125984598
"geithner",-0.365373635728641
"#tcot",-0.36404672038058
"close",-0.363066602016609
"-risk",-0.36043994206626
"head",-0.360263105823473
"regs",-0.358325733075917
"fy2012",-0.353753738405365
"pm.",-0.351468393632059
"corps",-0.348890415047202
"program",-0.347212911572052
"duck",-0.340380395562906
"cards",-0.33820338490868
"#medicare",-0.337797666953773
"#itsnotagame.",-0.337580673660334
"@senatorkirk",-0.335815126775496
"stabenow,",-0.326697353205571
"merkley:",-0.323276910125896
"michael",-0.320846872815162
"electric",-0.320350660421825
"rights",-0.320267085349661
"#scgop",-0.319757274003742
"safety.",-0.312783597168707
"#nh",-0.311144882676967
"salazar",-0.307767876698097
"women",-0.307528345423341
"#iditarod",-0.299858027290051
"brown:",-0.297763337105399
"damage",-0.297473063311061
"millions",-0.295798286616843
"training",-0.293462276194232
"bernie'",-0.291333067230367
"michigan",-0.287458200956349
"#debtceiling:",-0.287278299869417
"album",-0.284668030583122
"approval",-0.284157517209043
"focus",-0.282159240723106
"ban",-0.28076581288784
"tweets",-0.280675053361712
"@senatorcardin",-0.280014365043624
"prez",-0.27668264672332
"chairman",-0.272787538519818
"message",-0.271822288262629
"@rickklein",-0.269204882668428
"playing",-0.268976885718748
"pell",-0.26683704178399
"investment",-0.266324734473301
"@lisamurkowski",-0.265801565690139
"via",-0.265770683610277
"thousands",-0.262889244379294
"clinic",-0.261483879040265
"months",-0.260161242504107
"programs",-0.259435870281944
"responds",-0.257873704474827
"santa",-0.257257222483454
"#nuclear",-0.254932329100197
"#dreamact",-0.254357542273092
"world",-0.253844694211121
"partner",-0.253303828315556
"cup",-0.253091227506461
"pain",-0.252044824350179
"shortly",-0.251304797102448
"#congress",-0.250317943326544
"preserve",-0.250231119226287
"innovative",-0.250125776455899
"success",-0.247169961967224
"government",-0.246212831212204
"crisis",-0.245417504001573
"protects",-0.242293594775856
"july",-0.241851891168806
"brown",-0.241232923153172
"abc",-0.24019221236462
"van",-0.236539853283493
"carper",-0.236337802465028
"news",-0.236145743579438
"fails",-0.235994448526749
"raise",-0.23232521100556
"pic",-0.231530823485365
"cont",-0.229158273839568
"stabenow:",-0.225325809892469
"brown'",-0.22449392828669
"strategic",-0.223272317902658
"hannity",-0.223136015259958
"inspiring",-0.222361652735386
"pic:",-0.220854880984825
"jim",-0.220784400021653
"default.",-0.217821394662339
"-studio",-0.213548854544313
"merkley'",-0.213432217909726
"confirms",-0.212533092703056
"afghan",-0.211633919028388
"women.",-0.210488357784283
"faith",-0.208875282720883
"discuss",-0.205947296486322
"impt",-0.205704447714847
"andrea",-0.204551190910228
"deals",-0.2042731171825
"#libya",-0.203160506833419
"birthday",-0.199355849841565
"cleveland",-0.197186525605079
"hear",-0.195738076737502
"market",-0.195243319532467
"getting",-0.191664859812737
"concern",-0.190008589276235
"benefits.",-0.189936942564269
"schumer",-0.188887424804673
"lead",-0.188479409587762
"biggest",-0.188089325527168
"richard",-0.187023047513127
"resources",-0.185431432157121
"#filibuster",-0.185269411124793
"amdt",-0.184412531464191
"marks",-0.184385073388507
"rising",-0.184155142354705
"letting",-0.184148813765623
"isn’",-0.183813062773909
"half",-0.18375899132331
"justice",-0.182376031160809
"cspan",-0.181916354339956
"women’",-0.180995496460458
"alaskan",-0.180943170545923
"wars",-0.180408244275688
"breakfast",-0.179639993665512
"control",-0.179593267789968
"tonight",-0.179045012001099
"@nytimes",-0.178654391883399
"agreement",-0.178392536135769
"sick",-0.178085474084864
"judiciary",-0.177867343257998
"won",-0.17746409082075
"consumer",-0.176565273609328
"company",-0.176302639544361
"respond",-0.176182781057516
"bernie’",-0.176003947649393
"10:30",-0.175948661705479
"personnel",-0.175877897895378
"oil,",-0.175805705761839
"winning",-0.175721010455883
"floor",-0.175444076103366
"-span",-0.175423825883491
"ceremony",-0.17434792946748
"2day",-0.17390803055146
