"Word","V1"
"main",-0.542830913431792
"inspired",-0.538989897223967
"immediate",-0.495554718904844
"harkin,",-0.485363664196828
"#99countytour",-0.44900315574086
"#dreamact.",-0.430303765904171
"#ethanol",-0.425520746210113
"harm",-0.420769824146351
"rock",-0.415505643726761
"#louisiana",-0.41178971196241
"law",-0.409818418299436
"harkin:",-0.409496072363513
"women'",-0.400444253856916
"#dreamhearing:",-0.384896843907393
"science",-0.380961321636742
"#playbookbreakfast",-0.370089136257076
"church",-0.330403495777966
"#pollutedpolitics",-0.330205629797309
"@wolfblitzercnn",-0.329836406852912
"remind",-0.328797259283257
"duty",-0.328567759049873
"learn",-0.319922659730456
"private",-0.31498497429106
"scare",-0.307078653738743
"obama",-0.303288790489328
"send",-0.30317659025553
"#nyc",-0.298854681817209
"geithner",-0.298304750172469
"@theearlyshow",-0.295101359242169
"regs",-0.288310828024531
"-risk",-0.28811519386548
"close",-0.285655339774472
"fy2012",-0.284325521202157
"head",-0.28215948752679
"colleagues",-0.279681129676028
"pm.",-0.275971296956096
"program",-0.275844034439406
"@senatorkirk",-0.266993186814949
"michael",-0.264378531417356
"#medicare",-0.261507494423693
"duck",-0.26077626918897
"cardin:",-0.258714958315752
"women",-0.252718226669331
"#itsnotagame.",-0.248482052594148
"#tcot",-0.244670286348879
"#iditarod",-0.243710808436694
"millions",-0.239207747044251
"cards",-0.238349665844257
"corps",-0.236624956880344
"rights",-0.236209294946419
"michigan",-0.233769932854068
"salazar",-0.232361554397291
"safety.",-0.22734670570199
"#scgop",-0.222842333028124
"#nh",-0.222833924291778
"approval",-0.220956481649259
"electric",-0.220691205334042
"chairman",-0.22059359013745
"merkley:",-0.220527117109887
"stabenow,",-0.219874758814325
"ban",-0.217788072459083
"damage",-0.216865063387456
"playing",-0.215627990352112
"message",-0.21491178132567
"prez",-0.213960966264027
"bernie'",-0.212744155793441
"training",-0.212447152956574
"tweets",-0.211521362586331
"santa",-0.210361675538506
"months",-0.209497238072699
"focus",-0.207946026174695
"pell",-0.207204486285776
"investment",-0.206867797894188
"shortly",-0.205934967454629
"clinic",-0.20583761661708
"@senatorcardin",-0.205562433729224
"cup",-0.205431098276815
"#debtceiling:",-0.204574831512421
"world",-0.20446291890904
"success",-0.203719999260155
"album",-0.202555861290471
"brown:",-0.201978484630162
"preserve",-0.199874879146215
"innovative",-0.199333985918171
"july",-0.197410012177973
"government",-0.197251582731859
"partner",-0.192763948976642
"programs",-0.191983709485304
"van",-0.191898658814037
"responds",-0.184842236257489
"#dreamact",-0.18476568560444
"cont",-0.184701624947463
"protects",-0.18218114668838
"thousands",-0.182120919008321
"brown'",-0.181211600481109
"pic",-0.18075400393901
"fails",-0.178901823899103
"default.",-0.173921174142493
"crisis",-0.173868251339778
"afghan",-0.172217436789745
"pain",-0.172045988973866
"@rickklein",-0.171065455157309
"stabenow:",-0.17000489164229
"#congress",-0.168950584078881
"@lisamurkowski",-0.165556118671613
"#nuclear",-0.163627797255004
"impt",-0.16334744452763
"news",-0.16292812249751
"raise",-0.160536499317255
"brown",-0.160520549162434
"-studio",-0.157186179161304
"birthday",-0.156647884038897
"carper",-0.155193532947039
"faith",-0.153689727680201
"schumer",-0.153430740308597
"via",-0.152540662074246
"concern",-0.151306540486828
"women.",-0.150405844790785
"merkley'",-0.150317968483176
"confirms",-0.149909596490256
"#filibuster",-0.149147441694963
"hear",-0.146355772201101
"consumer",-0.145751731447041
"women’",-0.143822184427917
"biggest",-0.142870638186426
"cleveland",-0.142139640596005
"half",-0.142123379218041
"pic:",-0.141124910441862
"jim",-0.140155367173609
"andrea",-0.139538731766866
"sick",-0.139515729888766
"deals",-0.139223162074797
"bernie’",-0.137623810891816
"company",-0.137395884596576
"benefits.",-0.136755924763047
"include",-0.136306872052571
"oil,",-0.131757864953282
"won",-0.131291251721151
"photos",-0.130675375019121
"abc",-0.130524890250389
"marks",-0.129913053123507
"2day",-0.1290293095051
"safe.",-0.128746007966509
"respond",-0.125241877427935
"families,",-0.124844327000393
"staff",-0.124126216149841
"personnel",-0.122165004688144
"breakfast",-0.121878198285639
"inspiring",-0.12165958483328
"control",-0.120685884660945
"according",-0.119522013546829
"agreement",-0.11902124182988
"winning",-0.117901333642464
"fwd",-0.117890484767521
"transition",-0.117230230575193
"market",-0.116616945749536
"intro'",-0.116503270862182
"cspan",-0.116345453701283
"discuss",-0.116117819586943
"#libya",-0.115832303548486
"justice",-0.115712366010917
"downgrade",-0.115615851118611
"world.",-0.115504935847279
"broken",-0.114939693794121
"ceremony",-0.114853965763341
"huge",-0.114628184282827
"online:",-0.114007834086013
"price",-0.113201013277869
"getting",-0.111799900844391
"amdt",-0.111532352631818
"education,",-0.110877528079409
"reading",-0.110396125163335
"resources",-0.1102821883055
"judiciary",-0.11027088006797
"especially",-0.109358416846178
"seniors,",-0.10848869928275
"lee",-0.108480875702229
"budget",-0.108279886251641
"booth",-0.108172731322304
"provide",-0.108107813135248
"rising",-0.108056051500263
"newark",-0.107889684821782
"clean",-0.107151256034368
"warner'",-0.106602054101689
"sit",-0.106132247838685
"help.",-0.105508486438185
"9am",-0.104722928499939
"#energy",-0.10462669980023
"dad",-0.104549608026392
"program.",-0.104487458491462
"strategic",-0.103855463562097
"lead",-0.103157765452662
"tonight",-0.102954120407843
"-span",-0.102344004209066
"grateful",-0.100686786433495
"gov",-0.100422237532875
"breast",-0.100238016241251
"approves",-0.0997278834829646
"nuclear",-0.0995930230824243
"beautiful",-0.0988370878027142
"(-ia)",-0.0986995591277661
"petraeus",-0.0983340398833384
"unanimously",-0.0982299475118206
"students",-0.0981979043665323
"kill",-0.0968762138746243
"justice.",-0.094902457646416
"annual",-0.0947413462187598
"kyl",-0.0931531169568802
"lame",-0.0929588814093574
"panetta",-0.0919430563138244
"intel",-0.0914868236614139
"anniversary",-0.091225614843649
"fairness",-0.0911168333574442
"parish",-0.0910573764302886
"serve",-0.0886820261024557
"protecting",-0.0881948700156522
"alaskan",-0.087325274493857
"toomey",-0.0868311882931729
"transit",-0.0867657299336517
"military",-0.0866019274664399
"compromise",-0.0853064585014284
"rights.",-0.0849238670199708
"floor",-0.084778565805975
"team",-0.0847135403053475
"@chuckschumer",-0.0846488295460727
"#jobs.",-0.0844301422561952
"flag",-0.0841474043565971
"question",-0.083382118711153
"@barackobama",-0.0832416258704611
"momentarily",-0.083222939956746
"tomorrow,",-0.0831753724404833
"letting",-0.0829523807761971
"hands",-0.0824525239578889
"beyond",-0.0814321112274682
"tucson",-0.0812692731687984
"invited",-0.080423067005313
"richard",-0.0802824590400382
"isn’",-0.0800892014317698
"@ussoccer_wnt",-0.0795355115186412
"hearing,",-0.0793564313393641
"tax",-0.0789764808162122
"hutchison",-0.0783714842210186
"flood",-0.0782366216612805
"award",-0.0774707324856263
"colleges",-0.0762108844303419
"workers",-0.0762065293170725
"technology",-0.076122569697166
"faa",-0.0758033145821875
"nat'",-0.0755682068133512
"measure",-0.0751543526874627
"cuts,",-0.074656938883383
"columbia",-0.074635534478161
"received",-0.0741135362681135
"shut",-0.0734143240277683
"anchorage.",-0.0731984570281018
"noon",-0.0731435058241861
"#ohio",-0.0724137024970325
"helps",-0.0721520499903492
"hannity",-0.0718519036081848
"party",-0.0718355806708396
"caused",-0.071817066069873
"table",-0.0717408155022751
"medicare,",-0.0716681626548776
"unacceptable.",-0.07129449375369
"jobs,",-0.0711296297410332
"sat",-0.0707209055536502
"#sharedsacrifice",-0.070344661960093
"soldiers",-0.0698027440868142
"children'",-0.0697503648326414
"marine",-0.0690583948313595
"services",-0.0689302573373356
"filing",-0.0687897535439863
"post:",-0.0687802502297967
"@senatorcollins",-0.0682096701938994
"10:30",-0.0680265544117755
"wars",-0.0677967501700095
"roundtable",-0.0675365493737813
"benefit",-0.0674285765746793
"1:30",-0.067094008319329
"wealthy",-0.0666627752983683
"miss",-0.066094105939111
"cut,",-0.0654982615427849
"shutdown",-0.0648708109501875
"appreciate",-0.0647636205555644
"@nytimes",-0.0643976809642949
"helping",-0.0643398791457218
"begin",-0.0642162204074377
"lives.",-0.0639510527326467
"restore",-0.0634128660672345
"12:30",-0.0632013581369356
"teachers",-0.0631145046869337
"alaska'",-0.0630968799945869
"impressive",-0.0629570370632097
"hopefully",-0.0627913962580645
"story:",-0.0620362098358243
"@nasa",-0.0609084551956248
"hudson",-0.0606757546722595
"thursday",-0.0600697042306451
"plsd",-0.0599722667715658
"1,000",-0.0596686409422857
"powers",-0.0594642619308234
"marylanders",-0.0591660469739564
"econ",-0.0587436999300529
"keynote",-0.0582111431167025
"update:",-0.0580984514354355
"innovation",-0.0577144732323054
"saves",-0.0575464420951386
"colorado",-0.0563412783991871
"throughout",-0.0558635959957439
"-staff",-0.0549892296398835
"pleasure",-0.054271849053355
"middle",-0.0537542183850598
"gop'",-0.0532323988664583
"#cnn",-0.0530989413770107
"excessive",-0.053082705489461
"biz,",-0.0526523248955257
"hours",-0.0525949304960787
"baseball",-0.0518510152969165
"ultimate",-0.0509414651232348
"@sengillibrand",-0.050917308546468
"told",-0.0502418651767054
"deficit,",-0.0500595080813543
"economy",-0.049848571594288
"fixing",-0.0496666027460926
"walk",-0.0496029656659678
"corporations",-0.0484636355423184
"reducing",-0.0483405819703545
"history.",-0.0481848015691466
"tomorrow'",-0.0480661212067409
"move",-0.0477059557758293
"vets.",-0.0472484229572583
"east",-0.0465815540452651
"russell",-0.0462012120650826
"continued",-0.0458571983058435
"info:",-0.0452034649819198
"housing",-0.0447983196760619
"civilian",-0.0445593061538247
"wins",-0.0443421033398989
"wsj",-0.0439432118058228
"social",-0.0437565145413765
"2:30",-0.042640688235896
"fall",-0.0425733154683022
"reckless",-0.0421325283677399
"native",-0.0414780710342823
"treaty",-0.0412615793679547
"rate",-0.0403790149638749
"lose",-0.0403674588604844
"photo:",-0.0397089003504815
"worse",-0.0396769653831444
"despite",-0.0396432402783612
"participate",-0.0383770492582982
"repealing",-0.0381517836321756
"appropriations",-0.037710677392012
"homeowners",-0.0373877934210264
"local",-0.03729463111126
"bush",-0.0372501715183731
"sharing",-0.0365540928969597
"ignoring",-0.0364657507765457
"explain",-0.0360888354526623
"irresponsible",-0.0357608213367564
"included",-0.0351723662999477
"summit",-0.0344637823314212
"@senatorbegich",-0.0342668898638521
"near",-0.0340028175173695
"strong",-0.0336369846658912
"reached",-0.0334099803952915
"closer",-0.0333650358831059
"advanced",-0.0332898644435649
"cosponsor",-0.0332117976420483
"comes",-0.0329439499757318
