missingVotes,district,firstname,title,middlename,lastname,first.name,twitter_id,lo,up,party.y,party.x,state,icpsr.id,idealPoint,gender.y,gender.x,label,nameid,ideal_pointEst
20,5,Gary,Rep,L.,Ackerman,Gary,repgaryackerman,-1.32732185126967,-0.984674139564678,D,D,NY,15080,-1.15935466180226,M,M,Ackerman (D NY-5),A000022,1.28613130557
4,24,Sandra,Rep,,Adams,Sandra,RepSandyAdams,0.836243189722576,1.11765810282991,R,R,FL,NA,0.986753314681516,F,F,Adams (R FL-24),A000366,3.0319614543
9,4,Robert,Rep,B.,Aderholt,Robert,Robert_Aderholt,0.593448498861013,0.844309242165069,R,R,AL,29701,0.726355288948545,M,M,Aderholt (R AL-4),A000055,2.16500967076
27,2,W. Todd,Rep,,Akin,Todd,ToddAkin,0.844332598310221,1.12386630068186,R,R,MO,20123,0.981890294346048,M,M,Akin (R MO-2),A000358,2.44001360002
16,5,Rodney,Rep,M.,Alexander,Rodney,USRepAlexander,0.492139574068725,0.735274639124706,R,R,LA,20327,0.614509085689729,M,M,Alexander (R LA-5),A000361,2.88364383512
4,4,Jason,Rep,,Altmire,Jason,RepJasonAltmire,-0.19108931412006,-0.011562537326639,D,D,PA,20743,-0.0929796233074392,M,M,Altmire (D PA-4),A000362,1.91182137648
29,3,Justin,Rep,,Amash,Justin,repjustinamash,0.693203520206737,0.939520926374483,R,R,MI,NA,0.820103699549475,M,M,Amash (R MI-3),A000367,1.92533709693
12,7,Steven,Rep,,Austria,Steve,SteveAustria,0.565189446815011,0.808411407074287,R,R,OH,NA,0.692094507707197,M,M,Austria (R OH-7),A000365,2.16100311809
47,43,Joe,Rep,,Baca,Joe,BacaCA43,-0.941425631235751,-0.681308541888935,D,D,CA,29942,-0.813782742156541,M,M,Baca (D CA-43),B001234,1.49638738504
108,6,Michele,Rep,,Bachmann,Michele,MicheleBachmann,0.788847255375737,1.08364108168169,R,R,MN,20728,0.930899417070183,F,F,Bachmann (R MN-6),B001256,3.50175108818
18,6,Spencer,Rep,,Bachus,Spencer,BachusAL06,0.574899518403586,0.825495657058081,R,R,AL,29301,0.708923836959077,M,M,Bachus (R AL-6),B000013,2.09663997584
7,2,Tammy,Rep,,Baldwin,Tammy,RepTammyBaldwin,-1.99922245060258,-1.42702613151882,D,D,WI,29940,-1.73046684481889,F,F,Baldwin (D WI-2),B001230,1.77477311935
9,11,Lou,Rep,,Barletta,Lou,RepLouBarletta,0.405214331063219,0.635732185806351,R,R,PA,NA,0.521265860689089,M,M,Barletta (R PA-11),B001269,2.28267077399
7,12,John,Rep,,Barrow,John,repjohnbarrow,-0.420641716960046,-0.231122647772529,D,D,GA,20507,-0.322522868614396,M,M,Barrow (D GA-12),B001252,1.77477311935
46,6,Joe,Rep,Linus,Barton,Joe,RepJoeBarton,0.745997191514032,1.00481084281506,R,R,TX,15202,0.879642944351813,M,M,Barton (R TX-6),B000213,1.79879285025
