"last.name","first.name","state","party","gender","nameid","icpsr.id","class","next.election","missingVotes","idealPoint","lo","up","label"
"Akaka","Daniel","HI","D","M","A000069","14400","Class I","2012",5,-1.50917594278008,-2.25131095581385,-0.949987573759398,"Akaka (D-HI)"
"Alexander","Lamar","TN","R","M","A000360","40304","Class II","2014",2,0.629661101591805,0.402406995233769,0.849777797461245,"Alexander (R-TN)"
"Ayotte","Kelly","NH","R","F","A000368",NA,"Class III","2016",1,1.08922855096219,0.802629934892214,1.38092434379979,"Ayotte (R-NH)"
"Barrasso","John","WY","R","M","B001261","40707","Class I","2012",1,1.06552592021979,0.779564298580322,1.36349031090751,"Barrasso (R-WY)"
"Baucus","Max","MT","D","M","B000243","14203","Class II","2014",2,-0.66567846618566,-0.944005412080165,-0.381465849810012,"Baucus (D-MT)"
"Begich","Mark","AK","D","M","B001265",NA,"Class II","2014",0,-0.592311080763809,-0.907000210593792,-0.34427506368076,"Begich (D-AK)"
"Bennet","Michael","CO","D","M","B001267",NA,"Class III","2016",1,-0.605745299386655,-0.866895924937888,-0.331276453465313,"Bennet (D-CO)"
"Bingaman","Jeff","NM","D","M","B000468","15101","Class I","2012",0,-0.882803600514849,-1.27939557816618,-0.564223801711046,"Bingaman (D-NM)"
"Blumenthal","Richard","CT","D","M","B001277",NA,"Class III","2016",4,-0.780657094333723,-1.14374156377516,-0.507713537814701,"Blumenthal (D-CT)"
"Blunt","Roy","MO","R","M","B000575","29735","Class III","2016",3,0.778321065564868,0.488655360056001,1.02525369781913,"Blunt (R-MO)"
"Boozman","John","AR","R","M","B001236","20101","Class III",NA,5,0.991866996845094,0.721822267505865,1.27112359165862,"Boozman (R-AR)"
"Boxer","Barbara","CA","D","F","B000711","15010","Class III","2016",5,-0.817227363092521,-1.15285885956154,-0.510737435199909,"Boxer (D-CA)"
"Brown","Sherrod","OH","D","M","B000944","29389","Class I","2012",2,-0.900044417860486,-1.26547615591652,-0.543573382671206,"Brown (D-OH)"
"Brown","Scott","MA","R","M","B001268",NA,"Class I","2012",1,0.271001508704756,0.0529409371510559,0.469318290956145,"Brown (R-MA)"
"Burr","Richard","NC","R","M","B001135","29548","Class III","2016",4,0.880620205079943,0.613810408787814,1.1566820851119,"Burr (R-NC)"
"Cantwell","Maria","WA","D","F","C000127","39310","Class I","2012",0,-0.717772704514638,-0.982679290509401,-0.393265055811674,"Cantwell (D-WA)"
"Cardin","Benjamin","MD","D","M","C000141","15407","Class I","2012",0,-1.04051393880446,-1.45755464900996,-0.652482066209412,"Cardin (D-MD)"
"Carper","Thomas","DE","D","M","C000174","15014","Class I","2012",1,-0.762311041551208,-1.07322770507919,-0.474289197668854,"Carper (D-DE)"
"Casey","Bob","PA","D","M","C001070","40703","Class I","2012",1,-0.773356986399938,-1.14846661014873,-0.476417872060873,"Casey (D-PA)"
"Chambliss","Saxby","GA","R","M","C000286","29512","Class II","2014",2,0.962841961493318,0.718452021492908,1.24468565235535,"Chambliss (R-GA)"
"Coats","Daniel","IN","R","M","C000542","14806",NA,NA,1,0.927415519397002,0.669142776664854,1.19442597689066,"Coats (R-IN)"
"Coburn","Tom","OK","R","M","C000560","29555","Class III","2016",7,1.39709496312482,1.08586951153362,1.75298212048933,"Coburn (R-OK)"
"Cochran","Thad","MS","R","M","C000567","14009","Class II","2014",1,0.579097312160241,0.328625798727863,0.78980654859446,"Cochran (R-MS)"
"Collins","Susan","ME","R","F","C001035","49703","Class II","2014",0,0.287567600168616,0.0644521045839359,0.495325314211266,"Collins (R-ME)"
"Conrad","Kent","ND","D","M","C000705","15501","Class I","2012",2,-0.766709650971895,-1.07533324489783,-0.445616874953272,"Conrad (D-ND)"
"Coons","Christopher","DE","D","M","C001088",NA,"Class II","2014",1,-0.961510946731931,-1.41072129298651,-0.636546672365191,"Coons (D-DE)"
"Corker","Bob","TN","R","M","C001071","40705","Class I","2012",2,0.855679144033907,0.583810347191034,1.09938452103904,"Corker (R-TN)"
"Cornyn","John","TX","R","M","C001056","40305","Class II","2014",0,0.927107525833766,0.658432435408846,1.17828512432746,"Cornyn (R-TX)"
"Crapo","Michael","ID","R","M","C000880","29345","Class III","2016",1,1.41085581758886,1.08334872377197,1.71798255674608,"Crapo (R-ID)"
"DeMint","Jim","SC","R","M","D000595","29936","Class III","2016",2,1.82838243449299,1.48045677138805,2.25019766465182,"DeMint (R-SC)"
"Durbin","Richard","IL","D","M","D000563","15020","Class II","2014",2,-1.59270754023845,-2.32900097593418,-1.03379942581742,"Durbin (D-IL)"
"Ensign","John","NV","R","M","E000194","29537",NA,NA,60,1.52316865342484,1.17752948650775,1.98767280075676,"Ensign (R-NV)"
"Enzi","Michael","WY","R","M","E000285","49706","Class II","2014",0,1.07146648799622,0.726056513486119,1.34055211990313,"Enzi (R-WY)"
"Feinstein","Dianne","CA","D","F","F000062","49300","Class I","2012",7,-0.962748708003333,-1.41559066010839,-0.604086793104363,"Feinstein (D-CA)"
