missingVotes,lo,firstname,title,middlename,lastname,first.name,twitter_id,up,party.y,party.x,state,icpsr.id,label,idealPoint,gender.y,gender.x,next.election,nameid,class,ideal_pointEst
2,0.402406995233769,Lamar,Sen,,Alexander,Lamar,senalexander,0.849777797461245,R,R,TN,40304,Alexander (R-TN),0.629661101591805,M,M,2014,A000360,Class II,13.899682076
1,0.802629934892214,Kelly,Sen,A ,Ayotte,Kelly,SenatorAyotte,1.38092434379979,R,R,NH,NA,Ayotte (R-NH),1.08922855096219,F,F,2016,A000368,Class III,12.3341120212
1,0.779564298580322,John,Sen,,Barrasso,John,SenJohnBarrasso,1.36349031090751,R,R,WY,40707,Barrasso (R-WY),1.06552592021979,M,M,2012,B001261,Class I,13.2088318348
0,-0.907000210593792,Mark,Sen,,Begich,Mark,SenatorBegich,-0.34427506368076,D,D,AK,NA,Begich (D-AK),-0.592311080763809,M,M,2014,B001265,Class II,11.0404282171
1,-0.866895924937888,Michael,Sen,,Bennet,Michael,SenBennetCo,-0.331276453465313,D,D,CO,NA,Bennet (D-CO),-0.605745299386655,M,M,2016,B001267,Class III,10.3880749956
3,0.488655360056001,Roy,Sen,,Blunt,Roy,RoyBlunt,1.02525369781913,R,R,MO,29735,Blunt (R-MO),0.778321065564868,M,M,2016,B000575,Class III,15.4164752492
5,0.721822267505865,John,Sen,N.,Boozman,John,JohnBoozman,1.27112359165862,R,R,AR,20101,Boozman (R-AR),0.991866996845094,M,M,NA,B001236,Class III,21.9002098077
5,-1.15285885956154,Barbara,Sen,,Boxer,Barbara,senatorboxer,-0.510737435199909,D,D,CA,15010,Boxer (D-CA),-0.817227363092521,F,F,2016,B000711,Class III,9.69832707744
1,0.0529409371510559,Scott,Sen,P.,Brown,Scott,USSenScottBrown,0.469318290956145,R,R,MA,NA,Brown (R-MA),0.271001508704756,M,M,2012,B001268,Class I,15.7993190746
2,-1.26547615591652,Sherrod,Sen,C.,Brown,Sherrod,SenSherrodBrown,-0.543573382671206,D,D,OH,29389,Brown (D-OH),-0.900044417860486,M,M,2012,B000944,Class I,10.7970483205
4,0.613810408787814,Richard,Sen,M.,Burr,Richard,senatorburr,1.1566820851119,R,R,NC,29548,Burr (R-NC),0.880620205079943,M,M,2016,B001135,Class III,17.5216590451
0,-0.982679290509401,Maria,Sen,,Cantwell,Maria,US_Sen_Cantwell,-0.393265055811674,D,D,WA,39310,Cantwell (D-WA),-0.717772704514638,F,F,2012,C000127,Class I,9.21088909453
0,-1.45755464900996,Benjamin,Sen,L.,Cardin,Benjamin,SenatorCardin,-0.652482066209412,D,D,MD,15407,Cardin (D-MD),-1.04051393880446,M,M,2012,C000141,Class I,11.0125876821
1,-1.07322770507919,Thomas,Sen,Richard,Carper,Thomas,SenatorCarper,-0.474289197668854,D,D,DE,15014,Carper (D-DE),-0.762311041551208,M,M,2012,C000174,Class I,10.8743641708
1,0.669142776664854,Daniel,Sen,,Coats,Daniel,sendancoats,1.19442597689066,R,R,IN,14806,Coats (R-IN),0.927415519397002,M,M,NA,C000542,NA,12.6279720482
7,1.08586951153362,Thomas,Sen,Allen,Coburn,Tom,TomCoburn,1.75298212048933,R,R,OK,29555,Coburn (R-OK),1.39709496312482,M,M,2016,C000560,Class III,22.1626273411
0,0.0644521045839359,Susan,Sen,M.,Collins,Susan,senatorcollins,0.495325314211266,R,R,ME,49703,Collins (R-ME),0.287567600168616,F,F,2014,C001035,Class II,12.795988194
2,0.583810347191034,Bob,Sen,,Corker,Bob,SenBobCorker,1.09938452103904,R,R,TN,40705,Corker (R-TN),0.855679144033907,M,M,2012,C001071,Class I,13.0608228826
0,0.658432435408846,John,Sen,,Cornyn,John,JohnCornyn,1.17828512432746,R,R,TX,40305,Cornyn (R-TX),0.927107525833766,M,M,2014,C001056,Class II,22.4969636392
2,1.48045677138805,Jim,Sen,W.,DeMint,Jim,JimDeMint,2.25019766465182,R,R,SC,29936,DeMint (R-SC),1.82838243449299,M,M,2016,D000595,Class III,25.499656098
2,-2.32900097593418,Richard,Sen,J.,Durbin,Richard,SenatorDurbin,-1.03379942581742,D,D,IL,15020,Durbin (D-IL),-1.59270754023845,M,M,2014,D000563,Class II,9.86674567613
60,1.17752948650775,John,Sen,Eric,Ensign,John,SenEnsign,1.98767280075676,R,R,NV,29537,Ensign (R-NV),1.52316865342484,M,M,NA,E000194,NA,11.9591120832
1,-1.73943211905099,Kirsten,Sen,E.,Gillibrand,Kirsten,SenGillibrand,-0.771083813916599,D,D,NY,20735,Gillibrand (D-NY),-1.21722155122411,F,F,2012,G000555,Class I,6.3738460292
3,0.518935019324766,Lindsey,Sen,O.,Graham,Lindsey,GrahamBlog,1.02339530003552,R,R,SC,29566,Graham (R-SC),0.741943811718051,M,M,2014,G000359,Class II,15.2059770541
0,0.683078406044071,Charles,Sen,E.,Grassley,Charles,ChuckGrassley,1.21497265878356,R,R,IA,14226,Grassley (R-IA),0.979088747885616,M,M,2016,G000386,Class III,18.8604098816
2,-0.791530713075945,Kay,Sen,R.,Hagan,Kay,SenatorHagan,-0.29604710233609,D,D,NC,NA,Hagan (D-NC),-0.544250494333822,F,F,2014,H001049,Class II,11.3731535786
3,-2.07460829639663,Thomas,Sen,,Harkin,Tom,SenatorHarkin,-0.944436797097008,D,D,IA,14230,Harkin (D-IA),-1.48370393823024,M,M,2014,H000206,Class II,9.87796455014
8,0.861951281633193,Orrin,Sen,G.,Hatch,Orrin,OrrinHatch,1.44597613927658,R,R,UT,14503,Hatch (R-UT),1.16523565255654,M,M,2012,H000338,Class I,20.1003502086
12,0.423390049058846,Kay,Sen,Bailey,Hutchison,Kay,kaybaileyhutch,0.986161373016758,R,R,TX,49306,Hutchison (R-TX),0.713347712165175,F,F,2012,H001016,Class I,17.3139757621
6,0.912243654373694,James,Sen,M.,Inhofe,James,jiminhofe,1.53411238375707,R,R,OK,15423,Inhofe (R-OK),1.24064031576955,M,M,2014,I000024,Class II,12.0194951508
7,-2.56621597594207,Daniel,Sen,K.,Inouye,Daniel,daniel_inouye,-1.00976818247582,D,D,HI,4812,Inouye (D-HI),-1.7083629159649,M,M,2016,I000025,Class III,9.43570619159
0,0.419098688950698,Mike,Sen,O.,Johanns,Mike,Mike_Johanns,0.93367049497053,R,R,NE,NA,Johanns (R-NE),0.688374527369976,M,M,2014,J000291,Class II,13.0646928653
2,-1.21138934114548,Tim,Sen,P.,Johnson,Tim,SenJohnsonSD,-0.493203132991395,D,D,SD,15424,Johnson (D-SD),-0.817741550326118,M,M,2014,J000177,Class II,11.7774302985
0,1.07511342774743,Ron,Sen,,Johnson,Ron,SenRonJohnson,1.7379707160686,R,R,WI,NA,Johnson (R-WI),1.39769197876274,M,M,2016,J000293,Class III,15.2431199901
13,-1.36485227836581,John,Sen,Forbes,Kerry,John,JohnKerry,-0.589304571646933,D,D,MA,15300,Kerry (D-MA),-0.941429814776051,M,M,2014,K000148,Class II,9.80025377706
1,0.238484778764684,Mark,Sen,Steven,Kirk,Mark,markkirk,0.65010892257361,R,R,IL,20115,Kirk (R-IL),0.429535933705749,M,M,2016,K000360,Class III,12.1432085636
2,0.419556476722647,Jon,Sen,,Kyl,Jon,senjonkyl,0.868051282967409,R,R,AZ,15428,Kyl (R-AZ),0.623693049329891,M,M,2012,K000352,Class I,12.1472288811
0,-2.1382760084107,Frank,Sen,R.,Lautenberg,Frank,franklautenberg,-0.933317319067362,D,D,NJ,15103,Lautenberg (D-NJ),-1.51251078156543,M,M,2014,L000123,Class II,10.1464485412
4,-2.04544507742148,Patrick,Sen,J.,Leahy,Patrick,SenatorLeahy,-0.913121266262599,D,D,VT,14307,Leahy (D-VT),-1.49116065414031,M,M,2016,L000174,Class III,11.1859109154
8,-0.900199114509233,Joseph,Sen,I.,Lieberman,Joseph,JoeLieberman,-0.345347784846661,ID,I,CT,15705,Lieberman (ID-CT),-0.626175217937805,M,M,2012,L000304,Class I,12.7598723074
0,0.338231931540231,Richard,Sen,G.,Lugar,Richard,senatorlugar,0.801260767228409,R,R,IN,14506,Lugar (R-IN),0.565831533477503,M,M,2012,L000504,Class I,12.3791140443
1,-0.474941794404924,Joe,Sen,,Manchin,Joe,Sen_JoeManchin,-0.0436965580127446,D,D,WV,NA,Manchin III (D-WV),-0.257351410771035,M,M,2012,M001183,Class I,11.0738486068
8,0.537651623430142,John,Sen,Sidney,McCain,John,SenJohnMcCain,1.02111299162278,R,R,AZ,15038,McCain (R-AZ),0.765965486433603,M,M,2016,M000303,Class III,23.1897755777
3,-0.628016408886471,Claire,Sen,,McCaskill,Claire,clairecmc,-0.161084013566645,D,D,MO,40701,McCaskill (D-MO),-0.396713950514572,F,F,2012,M001170,Class I,8.96513396793
4,-1.29456725401541,Robert,Sen,,Menendez,Robert,SenatorMenendez,-0.563150263264307,D,D,NJ,29373,Menendez (D-NJ),-0.883167641081786,M,M,2012,M000639,Class I,11.0094827187
0,-1.1757475071104,Jeffery,Sen,A.,Merkley,Jeff,SenJeffMerkley,-0.495960574220468,D,D,OR,NA,Merkley (D-OR),-0.818745304131707,M,M,2014,M001176,Class II,9.89273034883
0,-2.32831284179318,Barbara,Sen,A.,Mikulski,Barbara,senatorbarb,-0.952217875334593,D,D,MD,14440,Mikulski (D-MD),-1.66209223899691,F,F,2016,M000702,Class III,10.5424901973
5,0.711101913345551,Jerry,Sen,,Moran,Jerry,JerryMoran,1.25328703005285,R,R,KS,29722,Moran (R-KS),0.97902612258998,M,M,2016,M000934,Class III,13.2214239428
4,0.120981312343882,Lisa,Sen,A.,Murkowski,Lisa,lisamurkowski,0.532168104575971,R,R,AK,40300,Murkowski (R-AK),0.342339026750379,F,F,2016,M001153,Class III,11.5782290628
0,-0.77783877891204,Bill,Sen,,Nelson,Bill,SenBillNelson,-0.267805986608979,D,D,FL,14651,Nelson (D-FL),-0.511611797451735,M,M,2012,N000032,Class I,10.8325659975
2,-0.288386496278405,E. Benjamin,Sen,,Nelson,Ben,SenBenNelson,0.0972774046078448,D,D,NE,40103,Nelson (D-NE),-0.0904669174307963,M,M,2012,N000180,Class I,11.1200323387
5,1.3293689850682,Rand,Sen,,Paul,Rand,SenRandPaul,2.08413676803881,R,R,KY,NA,Paul (R-KY),1.71324887808905,M,M,2016,P000603,Class III,15.337120817
0,0.626267364293253,Rob,Sen,,Portman,Rob,robportman,1.17704786919574,R,R,OH,29386,Portman (R-OH),0.881876147299372,M,M,2016,P000449,Class III,16.2082540896
0,-1.05330710150028,Harry,Sen,M.,Reid,Harry,SenatorReid,-0.429821619671942,D,D,NV,15054,Reid (D-NV),-0.755884630932726,M,M,2016,R000146,Class III,7.11637542271
4,1.08589665269545,James,Sen,E.,Risch,Jim,jamesrisch,1.7368506732174,R,R,ID,NA,Risch (R-ID),1.41219633187831,M,M,2014,R000584,Class II,13.4405676744
11,0.656533613740595,Pat,Sen,,Roberts,Pat,senpatroberts,1.21850566522734,R,R,KS,14852,Roberts (R-KS),0.922118422114074,M,M,2014,R000307,Class II,12.117206207
4,-1.28516900277173,Bernard,Sen,,Sanders,Bernard,senatorsanders,-0.539162398884166,I,I,VT,15836,Sanders (I-VT),-0.90650284858246,M,M,2012,S000033,Class I,8.60121699945
8,-2.0855341704659,Charles,Sen,E.,Schumer,Charles,chuckschumer,-0.879846711939366,D,D,NY,14858,Schumer (D-NY),-1.49986136459558,M,M,2016,S000148,Class III,8.18894812309
0,0.931868941193079,Jefferson,Sen,B.,Sessions,Jeff,SenatorSessions,1.55086173295967,R,R,AL,49700,Sessions (R-AL),1.22627756543305,M,M,2014,S001141,Class II,15.2386747002
0,-0.899810304919236,Jeanne,Sen,,Shaheen,Jeanne,JeanneShaheen,-0.362601449500865,D,D,NH,NA,Shaheen (D-NH),-0.62268794003616,F,F,2014,S001181,Class II,11.1793609437
0,0.206411424359916,Olympia,Sen,Jean,Snowe,Olympia,SenatorSnowe,0.611288797549421,R,R,ME,14661,Snowe (R-ME),0.4052638264094,F,F,2012,S000663,Class I,12.1315159829
0,-1.13195445127409,Debbie,Sen,Ann,Stabenow,Debbie,StabenowPress,-0.510848700883945,D,D,MI,29732,Stabenow (D-MI),-0.809865012559146,F,F,2012,S000770,Class I,10.5526996101
2,0.929651574907153,Patrick,Sen,,Toomey,Patrick,SenToomey,1.53502194926936,R,R,PA,29935,Toomey (R-PA),1.21900349333956,M,M,2016,T000461,Class III,15.4534908953
0,-0.815923998539797,Mark,Sen,E.,Udall,Mark,MarkUdall,-0.309361285469325,D,D,CO,29906,Udall (D-CO),-0.536544301486453,M,M,2014,U000038,Class II,10.3884001538
7,-1.65946688750368,Tom,Sen,S.,Udall,Tom,SenatorTomUdall,-0.663869581202395,D,D,NM,29924,Udall (D-NM),-1.15850120966216,M,M,2014,U000039,Class II,9.97483736944
7,1.10701833029131,David,Sen,B.,Vitter,David,DavidVitter,1.76588184309314,R,R,LA,29918,Vitter (R-LA),1.43550384518728,M,M,2016,V000127,Class III,20.4546268353
5,-0.92801518948639,Mark,Sen,R.,Warner,Mark,MarkWarner,-0.310180624179933,D,D,VA,NA,Warner (D-VA),-0.608108580489305,M,M,2014,W000805,Class II,10.6547134633
2,0.649458965950107,Roger,Sen,F.,Wicker,Roger,rogerwicker,1.20776410103872,R,R,MS,29534,Wicker (R-MS),0.912771213763106,M,M,2012,W000437,Class I,16.3298343877
