"lastname","state","firstname","middlename","title","party.x","gender.x","twitter_id","first.name","party.y","gender.y","nameid","icpsr.id","class","next.election","missingVotes","idealPoint","lo","up","label"
"Alexander","TN","Lamar","","Sen","R","M","senalexander","Lamar","R","M","A000360",40304,"Class II",2014,2,0.629661101591805,0.402406995233769,0.849777797461245,"Alexander (R-TN)"
"Ayotte","NH","Kelly","A ","Sen","R","F","SenatorAyotte","Kelly","R","F","A000368",NA,"Class III",2016,1,1.08922855096219,0.802629934892214,1.38092434379979,"Ayotte (R-NH)"
"Barrasso","WY","John","","Sen","R","M","SenJohnBarrasso","John","R","M","B001261",40707,"Class I",2012,1,1.06552592021979,0.779564298580322,1.36349031090751,"Barrasso (R-WY)"
"Begich","AK","Mark","","Sen","D","M","SenatorBegich","Mark","D","M","B001265",NA,"Class II",2014,0,-0.592311080763809,-0.907000210593792,-0.34427506368076,"Begich (D-AK)"
"Bennet","CO","Michael","","Sen","D","M","SenBennetCo","Michael","D","M","B001267",NA,"Class III",2016,1,-0.605745299386655,-0.866895924937888,-0.331276453465313,"Bennet (D-CO)"
"Blunt","MO","Roy","","Sen","R","M","RoyBlunt","Roy","R","M","B000575",29735,"Class III",2016,3,0.778321065564868,0.488655360056001,1.02525369781913,"Blunt (R-MO)"
"Boozman","AR","John","N.","Sen","R","M","JohnBoozman","John","R","M","B001236",20101,"Class III",NA,5,0.991866996845094,0.721822267505865,1.27112359165862,"Boozman (R-AR)"
"Boxer","CA","Barbara","","Sen","D","F","senatorboxer","Barbara","D","F","B000711",15010,"Class III",2016,5,-0.817227363092521,-1.15285885956154,-0.510737435199909,"Boxer (D-CA)"
"Brown","MA","Scott","P.","Sen","R","M","USSenScottBrown","Scott","R","M","B001268",NA,"Class I",2012,1,0.271001508704756,0.0529409371510559,0.469318290956145,"Brown (R-MA)"
"Brown","OH","Sherrod","C.","Sen","D","M","SenSherrodBrown","Sherrod","D","M","B000944",29389,"Class I",2012,2,-0.900044417860486,-1.26547615591652,-0.543573382671206,"Brown (D-OH)"
"Burr","NC","Richard","M.","Sen","R","M","senatorburr","Richard","R","M","B001135",29548,"Class III",2016,4,0.880620205079943,0.613810408787814,1.1566820851119,"Burr (R-NC)"
"Cantwell","WA","Maria","","Sen","D","F","US_Sen_Cantwell","Maria","D","F","C000127",39310,"Class I",2012,0,-0.717772704514638,-0.982679290509401,-0.393265055811674,"Cantwell (D-WA)"
"Cardin","MD","Benjamin","L.","Sen","D","M","SenatorCardin","Benjamin","D","M","C000141",15407,"Class I",2012,0,-1.04051393880446,-1.45755464900996,-0.652482066209412,"Cardin (D-MD)"
"Carper","DE","Thomas","Richard","Sen","D","M","SenatorCarper","Thomas","D","M","C000174",15014,"Class I",2012,1,-0.762311041551208,-1.07322770507919,-0.474289197668854,"Carper (D-DE)"
"Coats","IN","Daniel","","Sen","R","M","sendancoats","Daniel","R","M","C000542",14806,NA,NA,1,0.927415519397002,0.669142776664854,1.19442597689066,"Coats (R-IN)"
"Coburn","OK","Thomas","Allen","Sen","R","M","TomCoburn","Tom","R","M","C000560",29555,"Class III",2016,7,1.39709496312482,1.08586951153362,1.75298212048933,"Coburn (R-OK)"
"Collins","ME","Susan","M.","Sen","R","F","senatorcollins","Susan","R","F","C001035",49703,"Class II",2014,0,0.287567600168616,0.0644521045839359,0.495325314211266,"Collins (R-ME)"
"Corker","TN","Bob","","Sen","R","M","SenBobCorker","Bob","R","M","C001071",40705,"Class I",2012,2,0.855679144033907,0.583810347191034,1.09938452103904,"Corker (R-TN)"
"Cornyn","TX","John","","Sen","R","M","JohnCornyn","John","R","M","C001056",40305,"Class II",2014,0,0.927107525833766,0.658432435408846,1.17828512432746,"Cornyn (R-TX)"
"DeMint","SC","Jim","W.","Sen","R","M","JimDeMint","Jim","R","M","D000595",29936,"Class III",2016,2,1.82838243449299,1.48045677138805,2.25019766465182,"DeMint (R-SC)"
"Durbin","IL","Richard","J.","Sen","D","M","SenatorDurbin","Richard","D","M","D000563",15020,"Class II",2014,2,-1.59270754023845,-2.32900097593418,-1.03379942581742,"Durbin (D-IL)"
"Ensign","NV","John","Eric","Sen","R","M","SenEnsign","John","R","M","E000194",29537,NA,NA,60,1.52316865342484,1.17752948650775,1.98767280075676,"Ensign (R-NV)"
"Gillibrand","NY","Kirsten","E.","Sen","D","F","SenGillibrand","Kirsten","D","F","G000555",20735,"Class I",2012,1,-1.21722155122411,-1.73943211905099,-0.771083813916599,"Gillibrand (D-NY)"
"Graham","SC","Lindsey","O.","Sen","R","M","GrahamBlog","Lindsey","R","M","G000359",29566,"Class II",2014,3,0.741943811718051,0.518935019324766,1.02339530003552,"Graham (R-SC)"
"Grassley","IA","Charles","E.","Sen","R","M","ChuckGrassley","Charles","R","M","G000386",14226,"Class III",2016,0,0.979088747885616,0.683078406044071,1.21497265878356,"Grassley (R-IA)"
"Hagan","NC","Kay","R.","Sen","D","F","SenatorHagan","Kay","D","F","H001049",NA,"Class II",2014,2,-0.544250494333822,-0.791530713075945,-0.29604710233609,"Hagan (D-NC)"
"Harkin","IA","Thomas","","Sen","D","M","SenatorHarkin","Tom","D","M","H000206",14230,"Class II",2014,3,-1.48370393823024,-2.07460829639663,-0.944436797097008,"Harkin (D-IA)"
"Hatch","UT","Orrin","G.","Sen","R","M","OrrinHatch","Orrin","R","M","H000338",14503,"Class I",2012,8,1.16523565255654,0.861951281633193,1.44597613927658,"Hatch (R-UT)"
"Hutchison","TX","Kay","Bailey","Sen","R","F","kaybaileyhutch","Kay","R","F","H001016",49306,"Class I",2012,12,0.713347712165175,0.423390049058846,0.986161373016758,"Hutchison (R-TX)"
