lastname,firstname,middlename,title,party,state,gender,twitter_id
Ackerman,Gary,L.,Rep,D,NY,M,repgaryackerman
Adams,Sandra,,Rep,R,FL,F,RepSandyAdams
Aderholt,Robert,B.,Rep,R,AL,M,Robert_Aderholt
Akin,W. Todd,,Rep,R,MO,M,ToddAkin
Alexander,Lamar,,Sen,R,TN,M,senalexander
Alexander,Rodney,M.,Rep,R,LA,M,USRepAlexander
Altmire,Jason,,Rep,D,PA,M,RepJasonAltmire
Amash,Justin,,Rep,R,MI,M,repjustinamash
Austria,Steven,,Rep,R,OH,M,SteveAustria
Ayotte,Kelly,A ,Sen,R,NH,F,SenatorAyotte
Baca,Joe,,Rep,D,CA,M,BacaCA43
Bachmann,Michele,,Rep,R,MN,F,MicheleBachmann
Bachus,Spencer,,Rep,R,AL,M,BachusAL06
Baldwin,Tammy,,Rep,D,WI,F,RepTammyBaldwin
Barletta,Lou,,Rep,R,PA,M,RepLouBarletta
Barrasso,John,,Sen,R,WY,M,SenJohnBarrasso
Barrow,John,,Rep,D,GA,M,repjohnbarrow
Barton,Joe,Linus,Rep,R,TX,M,RepJoeBarton
Bass,Charles,,Rep,R,NH,M,RepCharlesBass
Bass,Karen,,Rep,D,CA,F,RepKarenBass
Becerra,Xavier,,Rep,D,CA,M,repbecerra
Begich,Mark,,Sen,D,AK,M,SenatorBegich
Benishek,Dan,,Rep,R,MI,M,CongressmanDan
Bennet,Michael,,Sen,D,CO,M,SenBennetCo
Berg,Rick,,Rep,R,ND,M,RepRickBerg
Berkley,Shelley,,Rep,D,NV,F,repberkley
Berman,Howard,L.,Rep,D,CA,M,RepHowardBerman
Biggert,Judy,,Rep,R,IL,F,JudyBiggert
Bilbray,Brian,P.,Rep,R,CA,M,BilbrayCA50
Bilirakis,Gus,Michael,Rep,R,FL,M,RepGusBilirakis
Bishop,Sanford,D.,Rep,D,GA,M,SanfordBishop
Black,Diane,,Rep,R,TN,F,dianeblacktn06
Blackburn,Marsha,,Rep,R,TN,F,MarshaBlackburn
Blumenauer,Earl,,Rep,D,OR,M,blumenauermedia
Blunt,Roy,,Sen,R,MO,M,RoyBlunt
Boehner,John,A.,Rep,R,OH,M,SpeakerBoehner
Bonner,Josiah,Robins,Rep,R,AL,M,repjobonner
Bono Mack,Mary,Whitaker,Rep,R,CA,F,MaryBonoMack
Boozman,John,N.,Sen,R,AR,M,JohnBoozman
Boswell,Leonard,L.,Rep,D,IA,M,LeonardBoswell
Boustany,Charles,,Rep,R,LA,M,RepBoustany
Boxer,Barbara,,Sen,D,CA,F,senatorboxer
Brady,Kevin,P.,Rep,R,TX,M,RepKevinBrady
Brady,Robert,A.,Rep,D,PA,M,RepBrady
Braley,Bruce,,Rep,D,IA,M,brucebraley
Brooks,Mo,,Rep,R,AL,M,RepMoBrooks
Broun,Paul,C.,Rep,R,GA,M,RepPaulBrounMD
Brown,Scott,P.,Sen,R,MA,M,USSenScottBrown
Brown,Sherrod,C.,Sen,D,OH,M,SenSherrodBrown
Buchanan,Vern,,Rep,R,FL,M,VernBuchanan
Bucshon,Larry,,Rep,R,IN,M,RepLarryBucshon
Buerkle,Ann,,Rep,R,NY,F,RepBuerkle
Burgess,Michael,C.,Rep,R,TX,M,michaelcburgess
Burr,Richard,M.,Sen,R,NC,M,senatorburr
Burton,Dan,L.,Rep,R,IN,M,RepDanBurton
Calvert,Ken,S.,Rep,R,CA,M,KenCalvert
Camp,David,Lee,Rep,R,MI,M,RepDaveCamp
Campbell,John,B.T.,Rep,R,CA,M,RepJohnCampbell
Canseco,Francisco,,Rep,R,TX,M,RepCanseco
Cantor,Eric,I.,Rep,R,VA,M,gopleader
Cantwell,Maria,,Sen,D,WA,F,US_Sen_Cantwell
Capito,Shelley,Moore,Rep,R,WV,F,RepShelley
Cardin,Benjamin,L.,Sen,D,MD,M,SenatorCardin
Cardoza,Dennis,A.,Rep,D,CA,M,RepCardoza
Carnahan,John,Russell,Rep,D,MO,M,RepCarnahan
Carper,Thomas,Richard,Sen,D,DE,M,SenatorCarper
Carter,John,R.,Rep,R,TX,M,JudgeCarter
Chabot,Steven,J.,Rep,R,OH,M,RepSteveChabot
Chaffetz,Jason,,Rep,R,UT,M,jasoninthehouse
Christensen,Donna,,Del,D,VI,F,DelegateDonna
Chu,Judy,M.,Rep,D,CA,F,RepJudyChu
